datetime,tot_orders,tot_gross_revenue,tot_cogs,tot_order_marketplace,tot_order_website,tot_order_b2b,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,weather_description,cloud_cover,sunshine_duration,is_weekend,day_of_week,tot_sessions,product_margin,AOV,cvr,revenue_per_session,lag_weekday_tot_orders,lag_weekday_tot_gross_revenue,lag_weekday_AOV,lag_weekday_cvr,lag_weekday_revenue_per_session,lag_1_tot_orders,lag_1_tot_gross_revenue,lag_1_AOV,lag_1_cvr,lag_1_revenue_per_session,lag_24_tot_orders,lag_24_tot_gross_revenue,lag_24_AOV,lag_24_cvr,lag_24_revenue_per_session,lag_168_tot_orders,lag_168_tot_gross_revenue,lag_168_AOV,lag_168_cvr,lag_168_revenue_per_session,lag_720_tot_orders,lag_720_tot_gross_revenue,lag_720_AOV,lag_720_cvr,lag_720_revenue_per_session
2023-01-01 16:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:00:00+00:00,1,30.24,11.52,0,1,0,10.797999,70.01972,0.0,0.0,0.0,2.0,partly_cloudy,69.3,3600.0,True,Sunday,66,29.85904761904762,30.24,0.015151515151515152,0.45818181818181813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.24,30.24,0.015151515151515152,0.45818181818181813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00+00:00,1,26.04,18.85,0,1,0,7.498,73.146095,0.0,0.0,0.0,3.0,cloudy,100.0,0.0,True,Sunday,56,25.316113671274962,26.04,0.017857142857142856,0.46499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.04,26.04,0.017857142857142856,0.46499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00+00:00,2,121.5,29.15,0,2,0,7.298,71.56923,0.0,0.0,0.0,3.0,cloudy,100.0,0.0,True,Sunday,72,121.26008230452675,60.75,0.027777777777777776,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.5,60.75,0.027777777777777776,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00+00:00,1,171.36,44.06,0,1,0,7.098,72.297775,0.0,0.0,0.0,3.0,cloudy,100.0,0.0,False,Monday,30,171.10288048552755,171.36,0.03333333333333333,5.712000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171.36,171.36,0.03333333333333333,5.712000000000001,1.0,27.72,27.72,0.012987012987012988,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
