customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
12073,25,1.0,45.82,5,3,2,532,Potential Loyalist
12074,43,1.0,334.44,4,3,5,435,Loyal Customers
12078,300,1.0,27.72,1,3,2,132,At Risk
12080,14,1.0,15.0,5,3,1,531,Potential Loyalist
12084,123,1.0,10.0,3,3,1,331,Frequent Low Spenders
12086,48,1.0,30.0,4,3,2,432,Potential Loyalist
12087,262,1.0,13.0,1,3,1,131,At Risk
12088,39,1.0,29.1,4,3,2,432,Potential Loyalist
12089,34,1.0,100.0,5,3,4,534,Loyal Customers
12091,341,1.0,262.09,1,3,5,135,At Risk
12097,164,1.0,40.86,2,3,2,232,At Risk
12098,89,1.0,6731.14,3,3,5,335,Others
12099,119,1.0,150.0,3,3,4,334,Others
12100,2,1.0,14.94,5,3,1,531,Potential Loyalist
12101,283,1.0,51.0,1,3,3,133,At Risk
12103,17,1.0,53.8,5,3,3,533,Loyal Customers
12108,102,1.0,155.42,3,3,4,334,Others
12111,146,1.0,228.13,3,3,5,335,Others
12113,35,1.0,110.04,5,3,4,534,Loyal Customers
12114,77,1.0,1009.4100000000001,4,3,5,435,Loyal Customers
12115,206,1.0,13.0,2,3,1,231,At Risk
12116,67,1.0,59.8,4,3,3,433,Loyal Customers
12121,303,1.0,63.19,1,3,3,133,At Risk
12123,229,1.0,454.05999999999995,2,3,5,235,At Risk
12124,239,1.0,31.0,1,3,2,132,At Risk
12126,23,1.0,25.0,5,3,1,531,Potential Loyalist
12128,122,1.0,149.9,3,3,4,334,Others
12130,109,1.0,15.0,3,3,1,331,Frequent Low Spenders
12132,94,1.0,20.7,3,3,1,331,Frequent Low Spenders
12134,120,1.0,199.36,3,3,5,335,Others
12136,247,1.0,19.41,1,3,1,131,At Risk
12139,46,1.0,117.69999999999999,4,3,4,434,Loyal Customers
12141,23,1.0,321.79,5,3,5,535,Loyal Customers
12142,28,1.0,52.8,5,3,3,533,Loyal Customers
12147,251,1.0,54.43,1,3,3,133,At Risk
12149,101,1.0,149.9,3,3,4,334,Others
12150,110,1.0,433.09,3,3,5,335,Others
12152,34,1.0,27.43,5,3,2,532,Potential Loyalist
12156,13,1.0,10.0,5,3,1,531,Potential Loyalist
12157,28,1.0,1737.71,5,3,5,535,Loyal Customers
12158,186,1.0,31.87,2,3,2,232,At Risk
12160,1,1.0,178.34,5,3,4,534,Loyal Customers
12162,23,1.0,52.7,5,3,3,533,Loyal Customers
12165,103,1.0,49.9,3,3,2,332,Frequent Low Spenders
12166,40,1.0,75.0,4,3,3,433,Loyal Customers
12167,57,1.0,1596.53,4,3,5,435,Loyal Customers
12171,241,1.0,250.34,1,3,5,135,At Risk
12172,59,1.0,50.22,4,3,3,433,Loyal Customers
12174,84,1.0,158.24,4,3,4,434,Loyal Customers
12175,89,1.0,77.16,3,3,3,333,Others
12176,16,1.0,62.769999999999996,5,3,3,533,Loyal Customers
12177,333,1.0,63.84,1,3,3,133,At Risk
12178,136,1.0,145.24,3,3,4,334,Others
12181,39,1.0,178.89,4,3,4,434,Loyal Customers
12182,65,1.0,54.87,4,3,3,433,Loyal Customers
12184,37,1.0,153.66,5,3,4,534,Loyal Customers
12185,290,1.0,103.9,1,3,4,134,At Risk
12187,67,1.0,76.24000000000001,4,3,3,433,Loyal Customers
12188,160,1.0,300.16,2,3,5,235,At Risk
12189,319,1.0,90.72,1,3,4,134,At Risk
12191,156,1.0,28.56,2,3,2,232,At Risk
12192,37,1.0,329.39,5,3,5,535,Loyal Customers
12193,127,1.0,94.58,3,3,4,334,Others
12194,188,1.0,37.98,2,3,2,232,At Risk
12195,0,1.0,233.63,5,3,5,535,Loyal Customers
12196,286,1.0,203.9,1,3,5,135,At Risk
12197,26,1.0,19.9,5,3,1,531,Potential Loyalist
12199,340,1.0,20.67,1,3,1,131,At Risk
12200,351,1.0,27.9,1,3,2,132,At Risk
12202,26,1.0,100.0,5,3,4,534,Loyal Customers
12204,69,1.0,29.1,4,3,2,432,Potential Loyalist
12207,190,1.0,15.0,2,3,1,231,At Risk
12209,131,1.0,15.0,3,3,1,331,Frequent Low Spenders
12211,198,1.0,4506.29,2,3,5,235,At Risk
12212,324,1.0,426.72,1,3,5,135,At Risk
12220,0,1.3333333333333333,122.44,5,5,4,554,Champions
12221,184,1.0,68.44,2,3,3,233,At Risk
12222,53,1.0,150.0,4,3,4,434,Loyal Customers
12225,98,1.0,33.83,3,3,2,332,Frequent Low Spenders
12227,195,1.0,11.33,2,3,1,231,At Risk
